timestamp,clouds,price,radiation,solar
2025-11-19T00:00,NA,NA,0.0,NA
2025-11-19T00:15,NA,NA,0.0,0
2025-11-19T00:30,NA,NA,0.0,0
2025-11-19T00:45,NA,NA,0.0,0
2025-11-19T01:00,NA,NA,0.0,NA
2025-11-19T01:15,NA,NA,0.0,0
2025-11-19T01:30,NA,NA,0.0,0
2025-11-19T01:45,NA,NA,0.0,0
2025-11-19T02:00,NA,NA,0.0,0
2025-11-19T02:15,NA,NA,0.0,0
2025-11-19T02:30,NA,NA,0.0,0
2025-11-19T02:45,NA,NA,0.0,0
2025-11-19T03:00,NA,NA,0.0,0
2025-11-19T03:15,NA,NA,0.0,0
2025-11-19T03:30,NA,NA,0.0,0
2025-11-19T03:45,NA,NA,0.0,0
2025-11-19T04:00,NA,NA,0.0,0
2025-11-19T04:15,NA,NA,0.0,0
2025-11-19T04:30,NA,NA,0.0,0
2025-11-19T04:45,NA,NA,0.0,0
2025-11-19T05:00,NA,NA,0.0,0
2025-11-19T05:15,NA,NA,0.0,0
2025-11-19T05:30,NA,NA,0.0,0
2025-11-19T05:45,NA,NA,0.0,0
2025-11-19T06:00,NA,NA,0.0,0
2025-11-19T06:15,NA,NA,0.0,0
2025-11-19T06:30,NA,NA,0.0,0
2025-11-19T06:45,NA,NA,0.0,0
2025-11-19T07:00,NA,NA,0.0,0
2025-11-19T07:15,NA,NA,0.0,0
2025-11-19T07:30,NA,NA,0.0,0
2025-11-19T07:45,NA,NA,0.0,0
2025-11-19T08:00,NA,NA,0.0,0
2025-11-19T08:15,NA,NA,0.0,0
2025-11-19T08:30,NA,NA,0.0,0
2025-11-19T08:45,NA,NA,1.0,0
2025-11-19T09:00,NA,NA,1.0,0
2025-11-19T09:15,NA,NA,0.0,72
2025-11-19T09:30,NA,NA,2.0,228
2025-11-19T09:45,NA,NA,13.0,576
2025-11-19T10:00,NA,NA,36.0,0
2025-11-19T10:15,NA,NA,70.0,1272
2025-11-19T10:30,NA,NA,105.0,972
2025-11-19T10:45,NA,NA,135.0,1272
2025-11-19T11:00,NA,NA,161.0,996
2025-11-19T11:15,NA,NA,182.0,468
2025-11-19T11:30,NA,NA,195.0,408
2025-11-19T11:45,NA,NA,197.0,1464
2025-11-19T12:00,NA,NA,185.0,648
2025-11-19T12:15,NA,NA,163.0,1080
2025-11-19T12:30,NA,NA,137.0,1116
2025-11-19T12:45,NA,NA,112.0,1416
2025-11-19T13:00,NA,NA,81.0,1272
2025-11-19T13:15,NA,NA,50.0,828
2025-11-19T13:30,NA,NA,29.0,984
2025-11-19T13:45,NA,NA,25.0,1032
2025-11-19T14:00,NA,NA,39.0,912
2025-11-19T14:15,NA,NA,58.0,432
2025-11-19T14:30,NA,NA,70.0,396
2025-11-19T14:45,NA,NA,64.0,300
2025-11-19T15:00,NA,NA,46.0,480
2025-11-19T15:15,NA,NA,25.0,336
2025-11-19T15:30,NA,NA,11.0,192
2025-11-19T15:45,NA,NA,7.0,96
2025-11-19T16:00,NA,NA,9.0,264
2025-11-19T16:15,NA,NA,11.0,12
2025-11-19T16:30,NA,NA,9.0,0
2025-11-19T16:45,NA,NA,4.0,0
2025-11-19T17:00,NA,NA,0.0,96
2025-11-19T17:15,NA,NA,0.0,0
2025-11-19T17:30,NA,NA,0.0,0
2025-11-19T17:45,NA,NA,0.0,0
2025-11-19T18:00,NA,NA,0.0,0
2025-11-19T18:15,NA,NA,0.0,0
2025-11-19T18:30,NA,NA,0.0,0
2025-11-19T18:45,NA,NA,0.0,0
2025-11-19T19:00,NA,NA,0.0,0
2025-11-19T19:15,NA,NA,0.0,0
2025-11-19T19:30,NA,NA,0.0,0
2025-11-19T19:45,NA,NA,0.0,0
2025-11-19T20:00,NA,NA,0.0,0
2025-11-19T20:15,NA,NA,0.0,NA
2025-11-19T20:30,2,NA,0.0,0
